image_id,sample_id,svs_path
2498074,P-0052144-T02-IM6,s3://mskmind-bkt/reef-slides/2498074.svs
2525306,P-0052145-T02-IM6,s3://mskmind-bkt/reef-slides/2525306.svs
3715660,P-0052146-T04-IM7,s3://mskmind-bkt/reef-slides/3715660.svs
7816669,P-0052146-T07-IM7,s3://mskmind-bkt/reef-slides/7816669.svs
2496501,P-0052156-T01-IM6,s3://mskmind-bkt/reef-slides/2496501.svs
2499540,P-0052159-T01-IM6,s3://mskmind-bkt/reef-slides/2499540.svs
2556386,P-0052161-T01-IM6,s3://mskmind-bkt/reef-slides/2556386.svs
2499523,P-0052162-T01-IM6,s3://mskmind-bkt/reef-slides/2499523.svs
2499570,P-0052172-T01-IM6,s3://mskmind-bkt/reef-slides/2499570.svs
3408333,P-0052173-T01-IM6,s3://mskmind-bkt/reef-slides/3408333.svs
2490163,P-0052175-T01-IM6,s3://mskmind-bkt/reef-slides/2490163.svs
2416345,P-0052176-T01-IM6,s3://mskmind-bkt/reef-slides/2416345.svs
2496423,P-0052194-T01-IM6,s3://mskmind-bkt/reef-slides/2496423.svs
2490151,P-0052200-T01-IM6,s3://mskmind-bkt/reef-slides/2490151.svs
2603290,P-0052217-T01-IM6,s3://mskmind-bkt/reef-slides/2603290.svs
2608041,P-0052220-T01-IM6,s3://mskmind-bkt/reef-slides/2608041.svs
2602289,P-0052220-T02-IM6,s3://mskmind-bkt/reef-slides/2602289.svs
2607972,P-0052221-T01-IM6,s3://mskmind-bkt/reef-slides/2607972.svs
2528012,P-0052225-T01-IM6,s3://mskmind-bkt/reef-slides/2528012.svs
2496096,P-0052226-T01-IM6,s3://mskmind-bkt/reef-slides/2496096.svs
2476964,P-0052227-T01-IM6,s3://mskmind-bkt/reef-slides/2476964.svs
2521817,P-0052229-T01-IM6,s3://mskmind-bkt/reef-slides/2521817.svs
2466693,P-0052230-T01-IM6,s3://mskmind-bkt/reef-slides/2466693.svs
2489868,P-0052231-T01-IM6,s3://mskmind-bkt/reef-slides/2489868.svs
2538148,P-0052234-T01-IM6,s3://mskmind-bkt/reef-slides/2538148.svs
2603445,P-0052235-T01-IM6,s3://mskmind-bkt/reef-slides/2603445.svs
2603372,P-0052237-T01-IM6,s3://mskmind-bkt/reef-slides/2603372.svs
