image_id,sample_id,svs_path
8404,TCGA-02-0338-01,s3://pathology/TCGA/eebdca07-d3fe-42be-9762-7409f2a48145/TCGA-02-0338-01Z-00-DX2.45827D5B-CF01-4AC9-BC51-EC3C521B1A1A.svs
8276,TCGA-02-0339-01,s3://pathology/TCGA/b1d70372-20c9-403b-af1f-2b3eac137f64/TCGA-02-0339-01Z-00-DX2.540BCD7A-870E-469D-BC9D-FBB9E2FEBDB3.svs
10592,TCGA-02-0422-01,s3://pathology/TCGA/f480636f-2c77-4f6e-bf4f-1ac9e6022c3f/TCGA-02-0422-01Z-00-DX2.E354E17A-0E49-4BC7-A8B3-DB6CD1B936EE.svs
6990,TCGA-02-0430-01,s3://pathology/TCGA/8206276d-1ef9-485f-8011-76ada3fa0c77/TCGA-02-0430-01Z-00-DX1.aa4aaacb-1f80-48f3-84c0-39accafc45a7.svs
326,TCGA-02-0432-01,s3://pathology/TCGA/a25c8556-ee76-414c-9e6a-6fef4bdde9ae/TCGA-02-0432-01Z-00-DX1.83CB13A3-6ADD-4015-94BA-AA6A759F2F8F.svs
1095,TCGA-02-0440-01,s3://pathology/TCGA/068f5dbb-2a77-43bf-9e26-21630db295be/TCGA-02-0440-01Z-00-DX2.713DD2B7-CCCB-4E75-B51C-92790BFFB035.svs
8480,TCGA-02-0446-01,s3://pathology/TCGA/ed1a696a-954b-44d3-a1c4-1578b41ab6e0/TCGA-02-0446-01Z-00-DX2.DDC76DDC-183C-4B49-8F30-E7945BFDB0BD.svs
6761,TCGA-02-0451-01,s3://pathology/TCGA/f1bdd96a-bf1a-4e6c-9bfc-2303d03c54eb/TCGA-02-0451-01Z-00-DX1.30b733cc-4ea2-49bd-8e54-e0db37be2f24.svs
9437,TCGA-05-4244-01,s3://pathology/TCGA/0b3cff7b-bbe2-40ab-aee6-cb0554940eaa/TCGA-05-4244-01Z-00-DX1.d4ff32cd-38cf-40ea-8213-45c2b100ac01.svs
7712,TCGA-05-4249-01,s3://pathology/TCGA/b6fea18e-9615-49c1-a10b-1d466639c2bd/TCGA-05-4249-01Z-00-DX1.9fce0297-cc19-4c04-872c-4466ee4024db.svs
